Date,Low,Open,Volume,High,Close,Adjusted Close
09-04-2002,0.4287500083,0.4391070008,191531200,0.4464290142,0.4303570092,0.3668439388
10-04-2002,0.4287500083,0.432321012,224980000,0.4455359876,0.4403569996,0.3753682375
11-04-2002,0.4419640005,0.4469639957,407254400,0.4499999881,0.4439289868,0.3784129918
12-04-2002,0.4387499988,0.4466069937,320241600,0.4494639933,0.4474999905,0.3814570606
15-04-2002,0.4428569973,0.4474999905,299370400,0.4491069913,0.4464290142,0.3805440962
16-04-2002,0.4485709965,0.4491069913,614577600,0.4641070068,0.4596430063,0.3918079436
17-04-2002,0.4532139897,0.4630360007,396250400,0.4673210084,0.4662500024,0.3974398673
18-04-2002,0.4442859888,0.4553569853,401710400,0.4557139874,0.4537500143,0.3867845535
19-04-2002,0.4451789856,0.4551790059,375407200,0.4551790059,0.4460709989,0.3802388608
22-04-2002,0.4326789975,0.4435710013,269427200,0.4451789856,0.4380359948,0.3733897209
23-04-2002,0.4301789999,0.438214004,233469600,0.4424999952,0.4330359995,0.3691275716
24-04-2002,0.4228569865,0.4339289963,140448000,0.4375,0.4244639874,0.3618206978
25-04-2002,0.4205360115,0.4207139909,194202400,0.4346430004,0.4307140112,0.3671482801
26-04-2002,0.4107140005,0.4335710108,304981600,0.4351789951,0.4108929932,0.3502524793
29-04-2002,0.4123210013,0.4135710001,272288800,0.4296430051,0.4278570116,0.364713043
30-04-2002,0.4241069853,0.4266070127,280963200,0.4353570044,0.4333930016,0.3694318831
01-05-2002,0.4171429873,0.4337500036,214704000,0.4337500036,0.4282140136,0.3650172353
02-05-2002,0.4214290082,0.4251790047,239344000,0.4346430004,0.4230360091,0.3606033921
03-05-2002,0.4183929861,0.4208930135,230781600,0.4289290011,0.4198209941,0.3578629196
06-05-2002,0.401071012,0.4169639945,249664800,0.4196430147,0.4044640064,0.3447724283
07-05-2002,0.3953570127,0.4096429944,242748800,0.4098210037,0.4012500048,0.342032671
08-05-2002,0.411428988,0.4142859876,436682400,0.437857002,0.4351789951,0.3709543645
09-05-2002,0.4250000119,0.4330359995,224616000,0.4348210096,0.43196401,0.3682137728
10-05-2002,0.4103569984,0.4337500036,235396000,0.4337500036,0.416429013,0.3549715281
13-05-2002,0.4096429944,0.4199999869,265608000,0.4301789999,0.4275000095,0.3644086719
14-05-2002,0.4325000048,0.4366070032,526506400,0.458570987,0.4573209882,0.3898286223
15-05-2002,0.4435710013,0.4530360103,335826400,0.4639289975,0.4514290094,0.3848061562
16-05-2002,0.4419640005,0.4474999905,227052000,0.4544639885,0.4501790106,0.3837406933
17-05-2002,0.4394640028,0.4551790059,236493600,0.4603570104,0.4466069937,0.3806957901
20-05-2002,0.4380359948,0.4387499988,269914400,0.4451789856,0.4417859912,0.3765862584
21-05-2002,0.4178569913,0.443392992,280991200,0.4464290142,0.4189290106,0.3571025431
22-05-2002,0.416429013,0.4173209965,290875200,0.4351789951,0.4342859983,0.3701931834
23-05-2002,0.4298210144,0.4366070032,369398400,0.4507139921,0.4496429861,0.3832837641
24-05-2002,0.4278570116,0.4462499917,166174400,0.4462499917,0.431250006,0.3676051199
28-05-2002,0.4183929861,0.4230360091,149716000,0.4321430027,0.4282140136,0.3650172353
29-05-2002,0.4187499881,0.4271430075,221793600,0.4364289939,0.4282140136,0.3650172353
30-05-2002,0.4198209941,0.4244639874,196375200,0.4353570044,0.4321430027,0.3683664203
31-05-2002,0.4157139957,0.4301789999,365495200,0.4330359995,0.4160709977,0.3546664417
03-06-2002,0.4032140076,0.4176790118,235110400,0.4187499881,0.4091069996,0.3487302065
04-06-2002,0.396070987,0.4085710049,347821600,0.411428988,0.4067859948,0.3467517197
05-06-2002,0.3991070092,0.4076789916,277082400,0.4076789916,0.4057140052,0.3458378315
06-06-2002,0.3935709894,0.4099999964,259996800,0.4148209989,0.3957140148,0.3373137116
07-06-2002,0.3737500012,0.3885709941,612376800,0.3917860091,0.3821429908,0.3257454932
10-06-2002,0.3810710013,0.3835709989,277575200,0.3899999857,0.3835709989,0.3269627392
11-06-2002,0.3644640148,0.3864290118,349496000,0.3874999881,0.3653570116,0.3114368618
12-06-2002,0.3560709953,0.3644640148,528718400,0.3705359995,0.3587499857,0.3058049381
13-06-2002,0.3460710049,0.3574999869,352083200,0.3580360115,0.348928988,0.2974333763
14-06-2002,0.3233929873,0.3435710073,424900000,0.3635709882,0.3589290082,0.305957526
17-06-2002,0.3544639945,0.3614290059,324609600,0.3683930039,0.3667860031,0.3126549423
18-06-2002,0.3567860126,0.3646430075,353360000,0.3676789999,0.3598209918,0.3067178726
19-06-2002,0.3014290035,0.3101789951,1709467200,0.3142859936,0.3057140112,0.2605961561
20-06-2002,0.3008930087,0.306607008,396636800,0.3142859936,0.3055360019,0.2604443729
21-06-2002,0.2998209894,0.3030360043,445177600,0.3123210073,0.3008930087,0.2564865649
24-06-2002,0.2982139885,0.2994639874,431933600,0.3166069984,0.3083930016,0.2628796995
25-06-2002,0.3010709882,0.3107140064,301201600,0.3157140017,0.3060710132,0.2609004974
26-06-2002,0.2853569984,0.3000000119,558952800,0.3087500036,0.2955360115,0.2519201934
27-06-2002,0.2932139933,0.2998209894,251658400,0.3083930016,0.3046430051,0.2596830726
28-06-2002,0.3035709858,0.3053570092,269858400,0.3182139993,0.3164289892,0.2697297335
01-07-2002,0.3044640124,0.3162499964,222689600,0.3192859888,0.3046430051,0.2596830726
02-07-2002,0.3005360067,0.3041070104,305188800,0.3064289987,0.3025000095,0.2578564286
03-07-2002,0.2991069853,0.3001790047,199029600,0.3157140017,0.3133929968,0.267141819
05-07-2002,0.3162499964,0.3162499964,161649600,0.3348209858,0.3346430063,0.2852557003
08-07-2002,0.3157140017,0.3307139874,211204000,0.3323209882,0.3216069937,0.2741436064
09-07-2002,0.311785996,0.3230359852,226749600,0.3266069889,0.3130359948,0.2668375075
10-07-2002,0.3080359995,0.3162499964,206880800,0.3244639933,0.3092859983,0.2636409104
11-07-2002,0.3030360043,0.3082140088,373676800,0.3276790082,0.3267860115,0.278558284
12-07-2002,0.3082140088,0.3312500119,443492000,0.3355360031,0.3126789927,0.2665331364
15-07-2002,0.3001790047,0.3112500012,295993600,0.3321430087,0.3255360126,0.2774927914
16-07-2002,0.3144640028,0.3241069913,446768000,0.3316070139,0.3189289868,0.2718608081
17-07-2002,0.2712500095,0.2880359888,1215485600,0.2892859876,0.2791070044,0.2379158437
18-07-2002,0.2633930147,0.2767859995,559462400,0.2778570056,0.2676790059,0.2281743288
19-07-2002,0.2594639957,0.2624999881,385207200,0.2708930075,0.2671430111,0.2277174741
22-07-2002,0.2608929873,0.2633930147,430897600,0.2712500095,0.2664290071,0.2271088213
23-07-2002,0.2578569949,0.2660709918,399890400,0.2701790035,0.2583929896,0.2202588171
24-07-2002,0.2544640005,0.255892992,406593600,0.2717860043,0.2714290023,0.2313710004
25-07-2002,0.2501789927,0.2666069865,479354400,0.2669639885,0.2564289868,0.2185846418
26-07-2002,0.2464289963,0.2582139969,207704000,0.2594639957,0.2560710013,0.2182795256
29-07-2002,0.2566069961,0.2585709989,274960000,0.2696430087,0.2682139874,0.2286303937
30-07-2002,0.2599999905,0.2651790082,354838400,0.2769640088,0.2755360007,0.2348717898
31-07-2002,0.2660709918,0.275000006,310699200,0.275357008,0.2725000083,0.2322839499
01-08-2002,0.2630360126,0.2698209882,228956000,0.275357008,0.2642860115,0.2252821475
02-08-2002,0.2544640005,0.2632139921,179060000,0.2678569853,0.2580359876,0.2199544609
05-08-2002,0.2494640052,0.2591069937,204024800,0.2624999881,0.2498210073,0.2129518986
06-08-2002,0.2514289916,0.2537499964,272053600,0.2719640136,0.2632139921,0.2243683636
07-08-2002,0.256249994,0.2694639862,333474400,0.2742860019,0.2683930099,0.2287829965
08-08-2002,0.2637499869,0.2637499869,227348800,0.2746430039,0.2732140124,0.2328925133
09-08-2002,0.2633930147,0.2723209858,205716000,0.2723209858,0.2678569853,0.228326112
12-08-2002,0.2623209953,0.2660709918,179765600,0.2682139874,0.2676790059,0.2281743288
13-08-2002,0.2598209977,0.2660709918,269869600,0.2716070116,0.2605359852,0.2220855653
14-08-2002,0.2596429884,0.2619639933,399084000,0.2741070092,0.2708930075,0.2309140563
15-08-2002,0.2680360079,0.2723209858,322078400,0.28125,0.2787500024,0.2376114577
16-08-2002,0.2728570104,0.2758930027,245224000,0.287499994,0.2823210061,0.2406554371
19-08-2002,0.2807140052,0.2817859948,216557600,0.2901790142,0.2853569984,0.243243441
20-08-2002,0.2773210108,0.2851789892,186625600,0.2873210013,0.2841069996,0.242177844
21-08-2002,0.2758930027,0.2858929932,202428800,0.2899999917,0.2878569961,0.2453744709
22-08-2002,0.2796429992,0.2892859876,258311200,0.2901790142,0.2851789892,0.2430915684
23-08-2002,0.2758930027,0.2839289904,163245600,0.2844640017,0.280892998,0.2394382209
26-08-2002,0.2707140148,0.2848210037,189968800,0.2848210037,0.2773210108,0.2363933921
27-08-2002,0.2626790106,0.280535996,262231200,0.2810710073,0.2651790082,0.2260433584
28-08-2002,0.2616069913,0.2642860115,247973600,0.2700000107,0.2624999881,0.2237597555
29-08-2002,0.2591069937,0.2616069913,164169600,0.2692860067,0.2624999881,0.2237597555
30-08-2002,0.2603569925,0.2630360126,193519200,0.2703570127,0.2633930147,0.2245209217
03-09-2002,0.2508929968,0.2587499917,276936800,0.2598209977,0.2508929968,0.2138656825
04-09-2002,0.2530359924,0.2535710037,420660800,0.2639290094,0.2585709989,0.2204105407
05-09-2002,0.2508929968,0.2539289892,226178400,0.2564289868,0.2532140017,0.2158441246
06-09-2002,0.2541069984,0.2591069937,181591200,0.2616069913,0.2567859888,0.2188889533
09-09-2002,0.2526789904,0.2549999952,158244800,0.2594639957,0.2566069961,0.2187364101
10-09-2002,0.2521429956,0.2573210001,249468800,0.2587499917,0.255892992,0.2181277424
11-09-2002,0.2526789904,0.2560710013,202412000,0.2607139945,0.255178988,0.2175191343
12-09-2002,0.2521429956,0.2535710037,269830400,0.2591069937,0.2524999976,0.2152354866
13-09-2002,0.2508929968,0.2523210049,282951200,0.2560710013,0.2530359924,0.2156924456
16-09-2002,0.2521429956,0.2524999976,286641600,0.2608929873,0.2589290142,0.2207157165
17-09-2002,0.260179013,0.260179013,427996800,0.2683930099,0.2642860115,0.2252821475
18-09-2002,0.2592859864,0.2623209953,328641600,0.2694639862,0.2682139874,0.2286303937
19-09-2002,0.2585709989,0.2633930147,205945600,0.2642860115,0.2603569925,0.2219329327
20-09-2002,0.2592859864,0.2610709965,352788800,0.2667860091,0.2655360103,0.2263476253
23-09-2002,0.2580359876,0.2635709941,263709600,0.2671430111,0.2651790082,0.2260433584
24-09-2002,0.2571429908,0.2571429908,250661600,0.2646430135,0.2614290118,0.2228467911
25-09-2002,0.2616069913,0.2623209953,254682400,0.2708930075,0.2666069865,0.2272605896
